_id,DATA,GMINA,LICZBA_POJAZDOW
1,2021-04-21,Boleslawiec,347
2,2021-04-21,Dzierzoniow,856
3,2021-04-21,Glogow,297
4,2021-04-21,Gora,228
5,2021-04-21,Gora powiat,246
6,2021-04-21,Inne,28046
7,2021-04-21,Jawor,298
8,2021-04-21,Jelenia Góra,382
9,2021-04-21,Kamienna Góra,215
10,2021-04-21,Klodzko,1000
11,2021-04-21,Legnica,574
12,2021-04-21,Legnica powiat,249
13,2021-04-21,Luban,211
14,2021-04-21,Lubin,682
15,2021-04-21,Lwowek,192
16,2021-04-21,Milicz,531
17,2021-04-21,Olesnica,2225
18,2021-04-21,Olawa,1498
19,2021-04-21,Polkowice,232
20,2021-04-21,Strzelin,625
21,2021-04-21,Sroda Slaska,1791
22,2021-04-21,Swidnica,1311
23,2021-04-21,Trzebnica,3901
24,2021-04-21,Walbrzych,646
25,2021-04-21,Walbrzych powiat,212
26,2021-04-21,Wolow,611
27,2021-04-21,Wroclaw,70488
28,2021-04-21,Wroclaw powiat,9581
29,2021-04-21,Zabkowice,550
30,2021-04-21,Zgorzelec,293
31,2021-04-21,Zlotoryja,227
