Data,PM10 [µg/m3],BaP [ng/m3]
2018-09-01,20,0.11
2018-09-02,23.5,0.11
2018-09-03,25.9,0.05
2018-09-04,23.3,0.05
2018-09-05,23.7,0.05
2018-09-06,24.8,0.05
2018-09-07,29.7,0.05
2018-09-08,15.5,0.05
2018-09-09,21.1,0.05
2018-09-10,30.9,0.15
2018-09-11,31.1,0.15
2018-09-12,32.7,0.15
2018-09-13,17.3,0.15
2018-09-14,13.5,0.15
2018-09-15,16.9,0.15
2018-09-16,14.2,0.15
2018-09-17,24.6,0.05
2018-09-18,28,0.05
2018-09-19,37.8,0.05
2018-09-20,38.6,0.05
2018-09-21,31.9,0.05
2018-09-22,13.7,0.05
2018-09-23,8.8,0.05
2018-09-24,7.2,0.54
2018-09-25,10.6,0.54
2018-09-26,17.9,0.54
2018-09-27,17.4,0.54
2018-09-28,19.3,0.54
2018-09-29,20.5,0.54
2018-09-30,19.4,0.54
2018-10-01,25.7,0.81
2018-10-02,17.1,0.81
2018-10-03,15.6,0.81
2018-10-04,24.4,0.81
2018-10-05,27,0.81
2018-10-06,36.2,0.81
2018-10-07,26.8,0.81
2018-10-08,17.4,2.27
2018-10-09,48,2.27
2018-10-10,49.7,2.27
2018-10-11,41.3,2.27
2018-10-12,47.5,2.27
2018-10-13,44,2.27
2018-10-14,35.8,2.27
2018-10-15,39.7,1.53
2018-10-16,46.7,1.53
2018-10-17,55.6,1.53
2018-10-18,79.7,1.53
2018-10-19,64.3,1.53
2018-10-20,28,1.53
2018-10-21,30.3,1.53
2018-10-22,38.7,1.42
2018-10-23,18.1,1.42
2018-10-24,9.1,1.42
2018-10-25,11.9,1.42
2018-10-26,28,1.42
2018-10-27,26.8,1.42
2018-10-28,13.4,1.42
2018-10-29,19.7,1.89
2018-10-30,26.3,1.89
2018-10-31,23,1.89
2018-11-01,38,1.89
2018-11-02,42,1.89
2018-11-03,33.6,1.89
2018-11-04,37.4,1.89
2018-11-05,35.7,4.05
2018-11-06,32.7,4.05
2018-11-07,39.9,4.05
2018-11-08,65.7,4.05
2018-11-09,72.6,4.05
2018-11-10,63,4.05
2018-11-11,48.9,4.05
2018-11-12,38.9,4.81
2018-11-13,36.7,4.81
2018-11-14,27.2,4.81
2018-11-15,45.2,4.81
2018-11-16,29,4.81
2018-11-17,41.5,4.81
2018-11-18,67.1,4.81
2018-11-19,31.2,6.36
2018-11-20,29.7,6.36
2018-11-21,36.8,6.36
2018-11-22,38.3,6.36
2018-11-23,76.2,6.36
2018-11-24,48.7,6.36
2018-11-25,50.7,6.36
2018-11-26,51.2,10.18
2018-11-27,41.4,10.18
2018-11-28,50.4,10.18
2018-11-29,59.1,10.18
2018-11-30,34,10.18
2018-12-01,71.3,10.18
2018-12-02,35,10.18
2018-12-03,27.1,4.92
2018-12-04,18.2,4.92
2018-12-05,46.2,4.92
2018-12-06,48.2,4.92
2018-12-07,19.1,4.92
2018-12-08,16.2,4.92
2018-12-09,5.7,4.92
2018-12-10,11.5,5.52
2018-12-11,7,5.52
2018-12-12,35.1,5.52
2018-12-13,45.9,5.52
2018-12-14,32.9,5.52
2018-12-15,34.1,5.52
2018-12-16,41.9,5.52
2018-12-17,59.5,8.69
2018-12-18,69.6,8.69
2018-12-19,70.7,8.69
2018-12-20,39.4,8.69
2018-12-21,24.9,8.69
2018-12-22,9.4,8.69
2018-12-23,11.5,8.69
2018-12-24,8.5,1.1
2018-12-25,9.9,1.1
2018-12-26,15.3,1.1
2018-12-27,14.2,1.1
2018-12-28,15.4,1.1
2018-12-29,16.7,1.1
2018-12-30,7.4,1.1
2018-12-31,,
2019-01-01,19.49,0.824
2019-01-02,8.76,0.824
2019-01-03,9.26,0.824
2019-01-04,16.32,0.824
2019-01-05,8.25,0.824
2019-01-06,10.15,0.824
2019-01-07,,
2019-01-08,10.04,1.385
2019-01-09,16.37,1.385
2019-01-10,34.79,1.385
2019-01-11,19.37,1.385
2019-01-12,16.72,1.385
2019-01-13,5.17,1.385
2019-01-14,,
2019-01-15,16.34,5.537
2019-01-16,13.35,5.537
2019-01-17,18.75,5.537
2019-01-18,13.75,5.537
2019-01-19,36.8,5.537
2019-01-20,109.44,5.537
2019-01-21,90.57,8.789
2019-01-22,116.55,8.789
2019-01-23,56.17,8.789
2019-01-24,32.77,8.789
2019-01-25,47.2,8.789
2019-01-26,44.81,8.789
2019-01-27,24.41,8.789
2019-01-28,46.62,6.042
2019-01-29,26.67,6.042
2019-01-30,60.16,6.042
2019-01-31,80,6.042
2019-02-01,,
2019-02-02,,
2019-02-03,,
2019-02-04,,
2019-02-05,,
2019-02-06,36.84,3.634
2019-02-07,53.59,3.634
2019-02-08,32.48,3.634
2019-02-09,21.72,3.634
2019-02-10,26.45,3.634
2019-02-11,8.12,4.549
2019-02-12,11.09,4.549
2019-02-13,24.83,4.549
2019-02-14,25.86,4.549
